Contig	Gene	Start	Stop	Length	Prokka	dbCAN	CAZy	TonB_TIGRFAM	Pfam_sulfatase	Pfam_SusD	MEROPS	KEGG_identifier
1	OLNLNENI_00001	462	1079	617	Recombination protein RecR	NA	NA	NA	NA	NA	NA	K06187
1	OLNLNENI_00004	4457	5194	737	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	OLNLNENI_00005	5232	6125	893	Purine nucleoside phosphorylase DeoD-type	NA	NA	NA	NA	NA	NA	K00757
1	OLNLNENI_00006	6215	7201	986	Hypothetical	GT2_Glycos_transf_2	GT2	NA	NA	NA	NA	NA
2	OLNLNENI_00007	12	410	398	Hypothetical	NA	NA	NA	NA	NA	NA	NA
2	OLNLNENI_00008	482	2383	-1901	Vitamin B12 transporter BtuB	NA	NA	NA	NA	NA	NA	K02014
2	OLNLNENI_00009	2510	6079	-3569	Multidrug resistance protein MdtC	NA	NA	NA	NA	NA	NA	K18989
2	OLNLNENI_00010	6098	7240	-1142	Multidrug resistance protein MdtA	NA	NA	NA	NA	NA	NA	NA
2	OLNLNENI_00011	7271	8599	-1328	Hypothetical	NA	NA	NA	NA	NA	NA	NA
2	OLNLNENI_00012	8605	9204	-599	Hypothetical	NA	NA	NA	NA	NA	NA	NA
2	OLNLNENI_00013	9374	10249	875	Hypothetical	NA	NA	NA	NA	NA	NA	NA
2	OLNLNENI_00014	10242	10670	-428	Hypothetical	NA	NA	NA	NA	NA	NA	NA
2	OLNLNENI_00015	10681	11535	-854	putative nicotinate-nucleotide pyrophosphorylase [carboxylating]	NA	NA	NA	NA	NA	NA	K00767
2	OLNLNENI_00016	11608	13242	1634	CTP synthase	NA	NA	NA	NA	NA	MEROPS=CTP synthase MER0065554	K01937
2	OLNLNENI_00017	13294	14061	-767	Hypothetical	NA	NA	NA	NA	NA	NA	NA
2	OLNLNENI_00018	14140	14916	-776	Dipeptidyl-peptidase 6	NA	NA	NA	NA	NA	MEROPS=Dipeptidyl-peptidase 6 MER0001322	K20742
2	OLNLNENI_00019	14971	15603	632	Hexitol phosphatase B	NA	NA	NA	NA	NA	NA	K24204
2	OLNLNENI_00020	15642	16601	959	Hydroxypyruvate reductase	NA	NA	NA	NA	NA	NA	K00058
2	OLNLNENI_00021	16738	18012	1274	Hypothetical	NA	NA	NA	NA	NA	NA	NA
2	OLNLNENI_00022	18015	18977	962	Formimidoylglutamase	NA	NA	NA	NA	NA	NA	K01479
2	OLNLNENI_00023	18985	20433	1448	Hypothetical	NA	NA	NA	NA	NA	NA	NA
2	OLNLNENI_00024	20434	20775	341	putative protein YciH	NA	NA	NA	NA	NA	NA	K03113
2	OLNLNENI_00025	20878	21549	671	Hypothetical	NA	NA	NA	NA	NA	NA	NA
2	OLNLNENI_00026	21546	21905	359	Undecaprenol kinase	NA	NA	NA	NA	NA	NA	NA
2	OLNLNENI_00027	21917	22573	656	Lipoprotein-releasing system ATP-binding protein LolD	NA	NA	NA	NA	NA	NA	K09810
2	OLNLNENI_00028	22579	23514	935	Hydroxypyruvate reductase	NA	NA	NA	NA	NA	NA	NA
2	OLNLNENI_00029	23431	23808	-377	Hypothetical	NA	NA	NA	NA	NA	NA	NA
2	OLNLNENI_00030	23911	24483	-572	Hypothetical	NA	NA	NA	NA	NA	NA	NA
3	OLNLNENI_00031	1066	3699	2633	Hypothetical	NA	NA	NA	NA	NA	NA	NA
3	OLNLNENI_00032	3892	5829	1937	Threonine--tRNA ligase	NA	NA	NA	NA	NA	NA	K01868
3	OLNLNENI_00033	6007	6399	392	Translation initiation factor IF-3	NA	NA	NA	NA	NA	NA	K02520
3	OLNLNENI_00034	6420	6614	194	50S ribosomal protein L35	NA	NA	NA	NA	NA	NA	K02916
3	OLNLNENI_00035	6706	7053	347	50S ribosomal protein L20	NA	NA	NA	NA	NA	NA	K02887
3	OLNLNENI_00036	7139	7546	407	Hypothetical	NA	NA	NA	NA	NA	NA	NA
3	OLNLNENI_00037	7611	8495	884	Lipid A biosynthesis lauroyltransferase	NA	NA	NA	NA	NA	NA	NA
3	OLNLNENI_00038	8479	9375	896	Lipid A biosynthesis lauroyltransferase	NA	NA	NA	NA	NA	NA	NA
3	OLNLNENI_00039	9503	10780	1277	Replication-associated recombination protein A	NA	NA	NA	NA	NA	NA	K07478
4	OLNLNENI_00040	46	1221	1175	Hypothetical	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00041	1221	2360	1139	Hypothetical	NA	NA	NA	NA	NA	NA	K07038
4	OLNLNENI_00042	2848	3069	221	Cold shock-like protein CspA	NA	NA	NA	NA	NA	NA	K03704
4	OLNLNENI_00043	3274	3612	-338	Hypothetical	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00044	3612	4280	-668	Hypothetical	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00045	4362	4886	-524	putative peptidyl-prolyl cis-trans isomerase	NA	NA	NA	NA	NA	NA	K03768
4	OLNLNENI_00046	4983	6251	1268	"Tetracycline resistance protein, class C"	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00047	6235	6822	587	Thiopurine S-methyltransferase	NA	NA	NA	NA	NA	NA	K21552
4	OLNLNENI_00048	6825	7325	500	Bifunctional protein pyrR	NA	NA	NA	NA	NA	NA	K02825
4	OLNLNENI_00049	7326	8333	-1007	FAD:protein FMN transferase	NA	NA	NA	NA	NA	NA	K03734
4	OLNLNENI_00050	8351	9115	-764	Cytidylate kinase	NA	NA	NA	NA	NA	NA	K00945
4	OLNLNENI_00051	9142	10032	890	putative 3-hydroxybutyryl-CoA dehydrogenase	NA	NA	NA	NA	NA	NA	K00074
4	OLNLNENI_00052	10090	12099	2009	Hypothetical	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00053	12148	13416	1268	Dihydroorotase	NA	NA	NA	NA	NA	MEROPS=Dihydroorotase MER0005767 -	K01465
4	OLNLNENI_00054	13439	15145	1706	Hypothetical	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00055	15223	16506	1283	Hypothetical	NA	NA	NA	NA	NA	NA	K06373
4	OLNLNENI_00056	16526	17470	944	Isochorismate synthase EntC	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00057	17571	18224	653	Hypothetical	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00058	18228	19232	-1004	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase	GT2_Glycos_transf_2	GT2	NA	NA	NA	NA	NA
4	OLNLNENI_00059	19236	19967	-731	Hypothetical	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00060	19969	20994	-1025	L-asparaginase 1	NA	NA	NA	NA	NA	NA	K01424
4	OLNLNENI_00061	21001	22026	-1025	Glycerol-3-phosphate dehydrogenase [NAD(P)+]	NA	NA	NA	NA	NA	NA	K00057
4	OLNLNENI_00062	22033	23679	-1646	Glycerol-3-phosphate acyltransferase	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00063	23712	23951	-239	Hypothetical	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00064	24113	25003	890	Exopolyphosphatase 2	NA	NA	NA	NA	NA	NA	K01524
4	OLNLNENI_00065	25000	25278	278	Hypothetical	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00066	25258	25518	-260	Hypothetical	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00067	25544	26455	-911	Hypothetical	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00068	26807	28120	-1313	Adenosylhomocysteinase	NA	NA	NA	NA	NA	NA	K01251
4	OLNLNENI_00069	28184	28822	638	Hypothetical	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00070	28937	29884	-947	Hypothetical	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00071	29975	30256	-281	Hypothetical	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00072	30258	30986	-728	Hypothetical	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00073	31020	31331	-311	Hypothetical	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00074	31331	32884	-1553	Hypothetical	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00075	33011	34105	-1094	Hypothetical	NA	NA	NA	NA	NA	NA	K07114
4	OLNLNENI_00076	34110	35114	-1004	Hypothetical	NA	NA	NA	NA	NA	NA	K07114
4	OLNLNENI_00077	35114	36046	-932	Hypothetical	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00078	36144	37016	-872	putative protein	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00079	37090	38124	-1034	Hypothetical	NA	NA	NA	NA	NA	NA	K03924
4	OLNLNENI_00080	38506	39351	845	Polyphosphate:GDP phosphotransferase	NA	NA	NA	NA	NA	NA	K22468
4	OLNLNENI_00081	39353	40120	767	Polyphosphate:NDP phosphotransferase 2	NA	NA	NA	NA	NA	NA	K22468
4	OLNLNENI_00082	40117	40521	404	Hypothetical	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00083	40634	42094	-1460	Hypothetical	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00084	42087	43379	-1292	Macrolide export ATP-binding/permease protein MacB	NA	NA	NA	NA	NA	NA	K02004
4	OLNLNENI_00085	43381	44631	-1250	Macrolide export protein MacA	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00086	44641	45306	-665	putative ABC transporter ATP-binding protein YknY	NA	NA	NA	NA	NA	NA	K02003
4	OLNLNENI_00087	45472	47601	2129	Methylmalonyl-CoA mutase large subunit	NA	NA	NA	NA	NA	NA	K01847
4	OLNLNENI_00088	47749	48657	908	Hypothetical	GH113	GH113	NA	NA	NA	NA	NA
4	OLNLNENI_00089	48704	50155	1451	Cysteine desulfurase IscS	NA	NA	NA	NA	NA	NA	K01634
4	OLNLNENI_00090	50309	51586	1277	Hypothetical	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00091	51885	52262	-377	Hypothetical	NA	NA	NA	NA	NA	NA	K09966
4	OLNLNENI_00092	52989	53570	-581	Hypothetical	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00093	54001	54324	323	Hypothetical	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00094	54417	54998	581	Hypothetical	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00095	54999	55607	608	Hypothetical	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00096	55612	55830	218	Hypothetical	NA	NA	NA	NA	NA	NA	NA
4	OLNLNENI_00097	55831	56337	-506	Multidrug resistance protein NorM	NA	NA	NA	NA	NA	NA	NA
5	OLNLNENI_00098	250	621	-371	Hypothetical	NA	NA	NA	NA	NA	NA	NA
5	OLNLNENI_00099	744	1367	-623	putative GTP-binding protein EngB	NA	NA	NA	NA	NA	NA	K03978
5	OLNLNENI_00100	1662	2123	461	Transcriptional regulator MraZ	NA	NA	NA	NA	NA	NA	K03925
5	OLNLNENI_00101	2110	3021	911	Ribosomal RNA small subunit methyltransferase H	NA	NA	NA	NA	NA	NA	K03438
5	OLNLNENI_00102	3023	3352	329	Hypothetical	NA	NA	NA	NA	NA	NA	NA
5	OLNLNENI_00103	3354	5429	2075	"Peptidoglycan D,D-transpeptidase FtsI"	NA	NA	NA	NA	NA	NA	K03587
5	OLNLNENI_00104	5436	6899	1463	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase"	NA	NA	NA	NA	NA	NA	K01928
5	OLNLNENI_00105	6899	8167	1268	Phospho-N-acetylmuramoyl-pentapeptide-transferase	NA	NA	NA	NA	NA	NA	K01000
5	OLNLNENI_00106	8187	9530	1343	UDP-N-acetylmuramoylalanine--D-glutamate ligase	NA	NA	NA	NA	NA	NA	K01925
5	OLNLNENI_00107	9658	10821	1163	putative peptidoglycan glycosyltransferase FtsW	NA	NA	NA	NA	NA	NA	NA
5	OLNLNENI_00108	10811	11917	1106	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	GT28	GT28	NA	NA	NA	NA	K02563
5	OLNLNENI_00109	12004	13371	1367	UDP-N-acetylmuramate--L-alanine ligase	NA	NA	NA	NA	NA	NA	K01924
5	OLNLNENI_00110	13368	14153	785	Hypothetical	NA	NA	NA	NA	NA	NA	K03589
5	OLNLNENI_00111	14155	15408	1253	Cell division protein FtsA	NA	NA	NA	NA	NA	NA	K03590
5	OLNLNENI_00112	15448	17112	1664	Cell division protein FtsZ	NA	NA	NA	NA	NA	NA	K03531
5	OLNLNENI_00113	17211	17525	314	Hypothetical	NA	NA	NA	NA	NA	NA	NA
5	OLNLNENI_00114	17579	18028	449	putative protein YqeY	NA	NA	NA	NA	NA	NA	K09117
5	OLNLNENI_00115	18220	18594	-374	Hypothetical	NA	NA	NA	NA	NA	NA	NA
5	OLNLNENI_00116	18669	19316	-647	Hypothetical	NA	NA	NA	NA	NA	NA	NA
5	OLNLNENI_00117	19445	20203	-758	putative ribonucleotide transport ATP-binding protein mkl	NA	NA	NA	NA	NA	NA	K02065
5	OLNLNENI_00118	20206	20952	-746	Intermembrane phospholipid transport system permease protein MlaE	NA	NA	NA	NA	NA	NA	K02066
5	OLNLNENI_00119	21366	22373	1007	GTPase Obg/CgtA	NA	NA	NA	NA	NA	NA	K03979
5	OLNLNENI_00120	22502	22849	347	Hypothetical	NA	NA	NA	NA	NA	NA	NA
5	OLNLNENI_00121	22842	23747	905	Hypothetical	NA	NA	NA	NA	NA	NA	NA
5	OLNLNENI_00122	23802	24677	875	Hypothetical	NA	NA	NA	NA	NA	NA	NA
5	OLNLNENI_00123	24680	25999	-1319	Arylsulfatase	NA	NA	NA	Sulfatase	NA	NA	NA
5	OLNLNENI_00124	26049	27539	-1490	(6-4) photolyase	NA	NA	NA	NA	NA	NA	K06876
5	OLNLNENI_00125	27679	28317	-638	Hypothetical	NA	NA	NA	NA	NA	NA	NA
5	OLNLNENI_00126	28323	29780	-1457	Cryptochrome-like protein cry2	NA	NA	NA	NA	NA	NA	NA
5	OLNLNENI_00127	29777	30871	-1094	Hypothetical	NA	NA	NA	NA	NA	NA	NA
5	OLNLNENI_00128	30872	31153	-281	Hypothetical	NA	NA	NA	NA	NA	NA	NA
5	OLNLNENI_00129	31143	31613	-470	Hypothetical	NA	NA	NA	NA	NA	NA	NA
5	OLNLNENI_00130	31619	31786	-167	Hypothetical	NA	NA	NA	NA	NA	NA	NA
5	OLNLNENI_00131	31790	33091	-1301	protein kinase UbiB	NA	NA	NA	NA	NA	NA	NA
5	OLNLNENI_00132	33095	33739	-644	Hypothetical	NA	NA	NA	NA	NA	NA	NA
5	OLNLNENI_00133	33758	34453	-695	3-oxoacyl-[acyl-carrier-protein] reductase FabG	NA	NA	NA	NA	NA	NA	NA
5	OLNLNENI_00134	34515	36923	-2408	Hypothetical	NA	NA	NA	NA	NA	NA	NA
