Contig	Gene	Start	Stop	Length	Prokka	dbCAN	CAZy	TonB_TIGRFAM	Pfam_sulfatase	Pfam_SusD	MEROPS	KEGG_identifier
1	MLNLJBAK_00001	968	2059	-1091	Hypothetical	NA	NA	NA	NA	NA	NA	K01991
1	MLNLJBAK_00007	6897	7085	-188	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	MLNLJBAK_00008	8107	8490	-383	HTH-type transcriptional regulator HmrR	NA	NA	NA	NA	NA	NA	K19591
1	MLNLJBAK_00009	8598	9347	749	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	MLNLJBAK_00010	9344	9856	512	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	MLNLJBAK_00011	9885	10226	341	Hypothetical	NA	NA	NA	NA	NA	NA	K07156
1	MLNLJBAK_00012	10229	11077	848	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	MLNLJBAK_00013	11074	12384	1310	Multicopper oxidase MmcO	NA	NA	NA	NA	NA	NA	NA
1	MLNLJBAK_00014	12381	12806	425	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	MLNLJBAK_00015	14033	14737	-704	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	MLNLJBAK_00016	14818	14903	-85	tRNA-Leu(gag)	NA	NA	NA	NA	NA	NA	NA
1	MLNLJBAK_00017	14914	15690	776	Octanoyltransferase	NA	NA	NA	NA	NA	NA	K03801
1	MLNLJBAK_00018	15934	17607	1673	Cytochrome c oxidase subunit 1-beta	NA	NA	NA	NA	NA	NA	K02274
1	MLNLJBAK_00019	17681	18133	-452	putative protein YqeY	NA	NA	NA	NA	NA	NA	K09117
1	MLNLJBAK_00020	18316	19479	1163	Carbamoyl-phosphate synthase small chain	NA	NA	NA	NA	NA	MEROPS=Carbamoyl-phosphate synthase small	K01956
1	MLNLJBAK_00021	19531	20187	-656	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	MLNLJBAK_00022	20295	20945	650	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	MLNLJBAK_00023	20951	22138	1187	Ubiquinone hydroxylase UbiL	NA	NA	NA	NA	NA	NA	NA
1	MLNLJBAK_00024	22135	23262	-1127	Serine-pyruvate aminotransferase	NA	NA	NA	NA	NA	NA	NA
1	MLNLJBAK_00025	23356	23811	-455	DNA-binding transcriptional activator DecR	NA	NA	NA	NA	NA	NA	K03719
1	MLNLJBAK_00026	23808	24269	-461	DNA-binding transcriptional activator DecR	NA	NA	NA	NA	NA	NA	NA
1	MLNLJBAK_00027	24397	25419	1022	Ketol-acid reductoisomerase (NADP(+))	NA	NA	NA	NA	NA	NA	K00053
1	MLNLJBAK_00028	25645	26544	899	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	MLNLJBAK_00029	26546	27886	-1340	Phosphoglucosamine mutase	NA	NA	NA	NA	NA	NA	K03431
1	MLNLJBAK_00030	27894	28883	-989	Dihydropteroate synthase	NA	NA	NA	NA	NA	NA	K00796
1	MLNLJBAK_00031	28912	29835	-923	Hypothetical	NA	NA	NA	NA	NA	NA	K01633
1	MLNLJBAK_00032	29960	30670	-710	Hypothetical	NA	NA	NA	NA	NA	NA	K01449
1	MLNLJBAK_00033	30848	33424	-2576	"Pyruvate, phosphate dikinase"	NA	NA	NA	NA	NA	NA	K01006
1	MLNLJBAK_00034	33677	35899	-2222	Glycine--tRNA ligase beta subunit	NA	NA	NA	NA	NA	NA	K01879
1	MLNLJBAK_00035	35899	36774	-875	Hypothetical	NA	NA	NA	NA	NA	NA	NA
