Contig	Gene	Start	Stop	Length	Prokka	dbCAN	CAZy	TonB_TIGRFAM	Pfam_sulfatase	Pfam_SusD	MEROPS	KEGG_identifier
1	OMNMOLFM_00001	43	717	674	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	OMNMOLFM_00002	780	2555	1775	Hypothetical	GH163	GH0	NA	NA	NA	NA	NA
1	OMNMOLFM_00003	2530	3963	1433	Hypothetical	CBM9	GH0	NA	NA	NA	NA	NA
1	OMNMOLFM_00004	4129	5424	1295	Hypothetical	NA	NA	NA	NA	NA	NA	K01113
1	OMNMOLFM_00009	8234	8680	446	Hypothetical	NA	NA	NA	NA	NA	NA	K05970
1	OMNMOLFM_00010	8722	9945	1223	Hypothetical	GH33	GH0	NA	NA	NA	NA	NA
1	OMNMOLFM_00011	10026	10916	890	Hypothetical	NA	NA	NA	NA	NA	MEROPS=Hypothetical MER0031570	NA
1	OMNMOLFM_00012	11055	12638	1583	Arylsulfatase	NA	NA	NA	Sulfatase	NA	NA	NA
1	OMNMOLFM_00013	12773	14266	1493	N-acetylglucosamine-6-O-sulfatase	NA	NA	NA	Sulfatase	NA	NA	NA
1	OMNMOLFM_00014	14338	15651	1313	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase	NA	NA	NA	NA	NA	NA	NA
1	OMNMOLFM_00015	15712	16137	425	Sulfatase	NA	NA	NA	Sulfatase	NA	NA	NA
1	OMNMOLFM_00016	16172	16486	-314	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	OMNMOLFM_00017	16397	16473	76	tRNA-Arg(tct)	NA	NA	NA	NA	NA	NA	NA
1	OMNMOLFM_00018	16516	17403	887	Dihydropteroate synthase	NA	NA	NA	NA	NA	NA	K00950
1	OMNMOLFM_00019	17397	18299	-902	Histidine N-alpha-methyltransferase	NA	NA	NA	NA	NA	NA	NA
1	OMNMOLFM_00020	18296	18799	-503	Hypothetical	NA	NA	NA	NA	NA	NA	K08976
1	OMNMOLFM_00021	18783	19424	-641	SCO1 protein 	NA	NA	NA	NA	NA	NA	K07152
1	OMNMOLFM_00022	19445	20431	-986	Alternative cytochrome c oxidase subunit 2	NA	NA	NA	NA	NA	NA	NA
1	OMNMOLFM_00023	20438	20866	-428	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	OMNMOLFM_00024	20866	21258	-392	Hypothetical	NA	NA	NA	NA	NA	NA	K02277
1	OMNMOLFM_00025	21268	22416	-1148	Hypothetical	NA	NA	NA	NA	NA	NA	K02276
1	OMNMOLFM_00026	22435	24336	-1901	Alternative cytochrome c oxidase subunit 1	NA	NA	NA	NA	NA	NA	NA
1	OMNMOLFM_00027	24358	25266	-908	Protoheme IX farnesyltransferase 2	NA	NA	NA	NA	NA	NA	K02257
1	OMNMOLFM_00028	25266	26525	-1259	Heme A synthase	NA	NA	NA	NA	NA	NA	K02259
1	OMNMOLFM_00029	26698	27156	-458	"6,7-dimethyl-8-ribityllumazine synthase"	NA	NA	NA	NA	NA	NA	K00794
1	OMNMOLFM_00030	27159	28397	-1238	Riboflavin biosynthesis protein RibBA	NA	NA	NA	NA	NA	NA	K14652
1	OMNMOLFM_00031	28399	31098	-2699	Alanine--tRNA ligase	NA	NA	NA	NA	NA	NA	K01872
1	OMNMOLFM_00032	31098	33407	-2309	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	OMNMOLFM_00033	33757	34110	-353	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	OMNMOLFM_00034	34179	35006	827	Methionine--tRNA ligase	NA	NA	NA	NA	NA	NA	K01874
1	OMNMOLFM_00035	35008	35121	113	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	OMNMOLFM_00036	35128	36429	-1301	N-acetylgalactosamine-6-O-sulfatase	NA	NA	NA	Sulfatase	NA	NA	NA
1	OMNMOLFM_00037	36707	38080	1373	putative AAA domain-containing protein	NA	NA	NA	NA	NA	NA	K07478
1	OMNMOLFM_00038	38070	38621	551	Hypothetical	NA	NA	NA	NA	NA	NA	K01934
1	OMNMOLFM_00039	38618	38791	-173	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	OMNMOLFM_00040	38788	39480	-692	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	OMNMOLFM_00041	39483	40229	-746	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	OMNMOLFM_00042	40301	41533	-1232	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	OMNMOLFM_00043	41536	44385	-2849	Hypothetical	NA	NA	NA	NA	NA	NA	K01992
1	OMNMOLFM_00044	44386	45123	-737	Linearmycin resistance ATP-binding protein LnrL	NA	NA	NA	NA	NA	NA	K01990
1	OMNMOLFM_00045	45182	45583	-401	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	OMNMOLFM_00046	45594	47342	-1748	Beta-barrel assembly-enhancing protease	NA	NA	NA	NA	NA	NA	NA
1	OMNMOLFM_00047	47541	48431	-890	ATP phosphoribosyltransferase	NA	NA	NA	NA	NA	NA	K00765
1	OMNMOLFM_00048	48570	49208	-638	Phosphoribosylglycinamide formyltransferase	NA	NA	NA	NA	NA	NA	K11175
1	OMNMOLFM_00049	49442	52291	2849	Imidazolonepropionase	NA	NA	NA	NA	NA	NA	NA
1	OMNMOLFM_00050	52288	53595	1307	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	OMNMOLFM_00051	53653	54267	-614	Superoxide dismutase [Mn]	NA	NA	NA	NA	NA	NA	K04564
1	OMNMOLFM_00052	54310	54921	-611	Imidazole glycerol phosphate synthase subunit HisH	NA	NA	NA	NA	NA	MEROPS=Imidazole glycerol phosphate	K02501
1	OMNMOLFM_00053	55105	55539	-434	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	OMNMOLFM_00054	55566	56510	-944	putative dual-specificity RNA methyltransferase RlmN	NA	NA	NA	NA	NA	NA	K06941
1	OMNMOLFM_00055	56644	58752	-2108	Glycogen phosphorylase	GT35	GT35	NA	NA	NA	NA	K00688
1	OMNMOLFM_00056	58843	59841	998	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	OMNMOLFM_00057	59846	60973	1127	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	OMNMOLFM_00058	60973	61887	914	Arsenite methyltransferase	NA	NA	NA	NA	NA	NA	K07755
1	OMNMOLFM_00059	61884	64529	-2645	DNA gyrase subunit A	NA	NA	NA	NA	NA	NA	K02469
1	OMNMOLFM_00060	64540	67038	-2498	DNA gyrase subunit B	NA	NA	NA	NA	NA	NA	K02470
1	OMNMOLFM_00061	67260	67841	-581	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	OMNMOLFM_00062	67848	68450	-602	RNA polymerase sigma-H factor	NA	NA	NA	NA	NA	NA	K03088
1	OMNMOLFM_00063	68454	69119	-665	Imidazoleglycerol-phosphate dehydratase	NA	NA	NA	NA	NA	NA	NA
1	OMNMOLFM_00064	69161	70099	-938	Thioredoxin reductase	NA	NA	NA	NA	NA	NA	K00384
1	OMNMOLFM_00065	70175	73915	-3740	Chromosome partition protein Smc	NA	NA	NA	NA	NA	NA	K03529
1	OMNMOLFM_00066	74074	75087	-1013	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	OMNMOLFM_00067	75099	76229	-1130	Transcription termination factor Rho	NA	NA	NA	NA	NA	NA	K03628
1	OMNMOLFM_00068	76389	77396	-1007	O-acetylserine sulfhydrylase	NA	NA	NA	NA	NA	NA	K01738
1	OMNMOLFM_00069	77858	78115	257	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	OMNMOLFM_00070	78885	78980	-95	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	OMNMOLFM_00071	78986	79564	578	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	OMNMOLFM_00072	79568	80662	1094	Hypothetical	NA	NA	NA	NA	NA	NA	NA
