Contig	Gene	Start	Stop	Length	Prokka	dbCAN	CAZy	TonB_TIGRFAM	Pfam_sulfatase	Pfam_SusD	MEROPS	KEGG_identifier
1	NPPNGPMO_00001	44	379	335	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00002	380	1339	959	Aldose sugar dehydrogenase YliI	NA	NA	NA	NA	NA	NA	K21430
1	NPPNGPMO_00013	8161	8295	-134	Hypothetical	NA	NA	NA	NA	NA	NA	K09791
1	NPPNGPMO_00014	8325	9281	-956	Tetraacyldisaccharide 4'-kinase	NA	NA	NA	NA	NA	NA	K00912
1	NPPNGPMO_00015	9283	10881	-1598	Lipid A export ATP-binding/permease protein MsbA	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00016	11048	11461	-413	Biopolymer transport protein ExbD	NA	NA	NA	NA	NA	NA	K03559
1	NPPNGPMO_00017	11470	12075	-605	Tol-Pal system protein TolQ	NA	NA	NA	NA	NA	NA	K03561
1	NPPNGPMO_00018	12371	12793	-422	Lipoprotein-releasing system ATP-binding protein LolD	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00019	12786	13349	-563	Lipoprotein-releasing system transmembrane protein LolE	NA	NA	NA	NA	NA	NA	K09808
1	NPPNGPMO_00020	13318	14052	-734	Lipoprotein-releasing system transmembrane protein LolE	NA	NA	NA	NA	NA	NA	K09808
1	NPPNGPMO_00021	14102	14686	584	Riboflavin synthase	NA	NA	NA	NA	NA	NA	K00793
1	NPPNGPMO_00022	14699	15490	791	Riboflavin biosynthesis protein RibBA	NA	NA	NA	NA	NA	NA	K14652
1	NPPNGPMO_00023	15889	16122	233	Putative pre-16S rRNA nuclease	NA	NA	NA	NA	NA	NA	K07447
1	NPPNGPMO_00024	16345	16491	146	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00025	16918	17205	287	Aspartate carbamoyltransferase	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00026	17593	17784	191	Aspartate carbamoyltransferase	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00027	17845	18093	248	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00028	18820	18957	137	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00029	19180	19302	122	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00030	19470	19667	197	Pyrroline-5-carboxylate reductase	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00031	19772	20032	260	tRNA-specific 2-thiouridylase MnmA	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00032	20014	20520	506	tRNA-specific 2-thiouridylase MnmA	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00033	21084	21392	308	Nicotinate-nucleotide pyrophosphorylase [carboxylating]	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00034	21678	21902	224	Acetolactate synthase isozyme 3 large subunit	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00035	22083	22829	746	Acetolactate synthase isozyme 3 large subunit	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00036	22878	23399	521	Acetolactate synthase isozyme 3 large subunit	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00037	23400	23597	197	Acetolactate synthase isozyme 3 small subunit	NA	NA	NA	NA	NA	NA	K01653
1	NPPNGPMO_00038	23659	23892	233	Acetolactate synthase isozyme 3 small subunit	NA	NA	NA	NA	NA	NA	K01653
1	NPPNGPMO_00039	24281	24538	257	Ketol-acid reductoisomerase (NADP(+))	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00040	24570	24713	143	Ketol-acid reductoisomerase (NAD(+))	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00041	24727	24906	179	Ketol-acid reductoisomerase (NADP(+))	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00042	25188	25298	110	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00043	25754	25927	-173	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00044	25893	26018	-125	RNA pyrophosphohydrolase	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00045	27126	27416	290	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00046	27656	27823	167	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00047	27982	28257	275	Hypothetical	NA	NA	NA	NA	NA	MEROPS=Hypothetical MER0200434	NA
1	NPPNGPMO_00048	28259	28480	221	Exodeoxyribonuclease 7 small subunit	NA	NA	NA	NA	NA	NA	K03602
1	NPPNGPMO_00049	28473	29246	773	Farnesyl diphosphate synthase	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00050	29429	29671	242	1-deoxy-D-xylulose-5-phosphate synthase	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00051	30012	30242	230	1-deoxy-D-xylulose-5-phosphate synthase	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00052	30317	30490	173	1-deoxy-D-xylulose-5-phosphate synthase	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00053	30625	31143	518	1-deoxy-D-xylulose-5-phosphate synthase	NA	NA	NA	NA	NA	NA	NA
1	NPPNGPMO_00054	31161	31955	794	GTP cyclohydrolase FolE2	NA	NA	NA	NA	NA	NA	K09007
1	NPPNGPMO_00055	31912	32481	-569	Hypothetical	NA	NA	NA	NA	NA	NA	NA
