Contig	Gene	Start	Stop	Length	Prokka	dbCAN	CAZy	TonB_TIGRFAM	Pfam_sulfatase	Pfam_SusD	MEROPS	KEGG_identifier
1	GFDMNFAF_00001	26	208	182	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	GFDMNFAF_00002	236	430	194	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	GFDMNFAF_00003	602	1081	479	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	GFDMNFAF_00004	1202	2017	-815	Outer membrane protein assembly factor BamD	NA	NA	NA	NA	NA	NA	K05807
1	GFDMNFAF_00006	3252	5036	-1784	Cell division protein FtsZ	NA	NA	NA	NA	NA	NA	K03531
1	GFDMNFAF_00007	5175	6419	-1244	Cell division protein FtsA	NA	NA	NA	NA	NA	NA	K03590
1	GFDMNFAF_00008	6466	7356	-890	Cell division protein FtsQ	NA	NA	NA	NA	NA	NA	K03589
1	GFDMNFAF_00009	7344	8264	-920	D-alanine--D-alanine ligase B	NA	NA	NA	NA	NA	NA	K01921
2	GFDMNFAF_00010	211	690	479	Hypothetical	NA	NA	NA	NA	NA	NA	NA
2	GFDMNFAF_00011	687	1463	-776	(E)-2-((N-methylformamido)methylene)succinate hydrolase	NA	NA	NA	NA	NA	MEROPS=(E)-2-((N-methylformamido)methylene)succinate hydrolase MER0017142	K01055
2	GFDMNFAF_00012	1460	2506	-1046	"2,5-dihydroxypyridine 5,6-dioxygenase"	NA	NA	NA	NA	NA	NA	K18028
2	GFDMNFAF_00013	2595	3041	446	Hypothetical	NA	NA	NA	NA	NA	NA	K23775
2	GFDMNFAF_00014	3128	3529	401	Hypothetical	NA	NA	NA	NA	NA	NA	K07006
3	GFDMNFAF_00015	78	1508	1430	Hypothetical	NA	NA	NA	NA	NA	NA	NA
3	GFDMNFAF_00016	1577	1825	-248	Hypothetical	NA	NA	NA	NA	NA	NA	NA
3	GFDMNFAF_00017	1867	3258	-1391	Urocanate reductase	NA	NA	NA	NA	NA	NA	NA
3	GFDMNFAF_00018	3293	4585	-1292	C4-dicarboxylate TRAP transporter large permease protein DctM	NA	NA	NA	NA	NA	NA	K11690
3	GFDMNFAF_00019	4579	5067	-488	Hypothetical	NA	NA	NA	NA	NA	NA	NA
3	GFDMNFAF_00020	5153	6184	-1031	Outer membrane transporter protein TsaT	NA	NA	NA	NA	NA	NA	K21395
3	GFDMNFAF_00021	6340	6738	398	Glutathione transferase FosA	NA	NA	NA	NA	NA	NA	NA
3	GFDMNFAF_00022	7050	7427	377	Hypothetical	NA	NA	NA	NA	NA	NA	K13583
3	GFDMNFAF_00023	7723	8055	332	RNA polymerase-binding transcription factor DksA	NA	NA	NA	NA	NA	NA	K06204
3	GFDMNFAF_00024	8158	8505	-347	Hypothetical	NA	NA	NA	NA	NA	NA	K01449
3	GFDMNFAF_00025	8444	8686	-242	Hypothetical	NA	NA	NA	NA	NA	NA	NA
3	GFDMNFAF_00026	8978	10693	-1715	Acetophenone carboxylase delta subunit	NA	NA	NA	NA	NA	NA	NA
3	GFDMNFAF_00027	10690	12762	-2072	Acetophenone carboxylase gamma subunit	NA	NA	NA	NA	NA	NA	K01473
3	GFDMNFAF_00028	12778	13893	-1115	putative alcohol dehydrogenase adh	NA	NA	NA	NA	NA	NA	NA
3	GFDMNFAF_00029	14105	14968	863	4-sulfomuconolactone hydrolase	NA	NA	NA	NA	NA	NA	K10221
3	GFDMNFAF_00030	14976	15809	-833	SOS response-associated protein YedK	NA	NA	NA	NA	NA	NA	NA
3	GFDMNFAF_00031	15848	17800	1952	Hypothetical	NA	NA	NA	NA	NA	NA	NA
3	GFDMNFAF_00032	17837	18715	878	"3'(2'),5'-bisphosphate nucleotidase CysQ"	NA	NA	NA	NA	NA	NA	K01082
3	GFDMNFAF_00033	18663	19697	1034	Threonylcarbamoyl-AMP synthase	NA	NA	NA	NA	NA	NA	K07566
3	GFDMNFAF_00034	19783	21219	1436	putative FAD-linked oxidoreductase	AA4	NA	NA	NA	NA	NA	NA
3	GFDMNFAF_00035	21230	22987	1757	3-methylmercaptopropionyl-CoA dehydrogenase	NA	NA	NA	NA	NA	NA	K20035
3	GFDMNFAF_00036	23091	23582	491	S-adenosylmethionine decarboxylase proenzyme	NA	NA	NA	NA	NA	NA	K01611
3	GFDMNFAF_00037	23579	24430	851	Polyamine aminopropyltransferase	NA	NA	NA	NA	NA	NA	K00797
