Contig	Gene	Start	Stop	Length	Prokka	dbCAN	CAZy	TonB_TIGRFAM	Pfam_sulfatase	Pfam_SusD	MEROPS	KEGG_identifier
1	GELPLBNI_00001	107	544	437	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	GELPLBNI_00002	568	843	275	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	GELPLBNI_00003	857	1129	272	Acylphosphatase	NA	NA	NA	NA	NA	NA	K01512
1	GELPLBNI_00006	3801	7649	3848	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	GELPLBNI_00007	7694	7960	-266	oxaloacetate decarboxylase gamma chain	NA	NA	NA	NA	NA	NA	NA
1	GELPLBNI_00008	7967	9166	-1199	Glutaconyl-CoA decarboxylase subunit beta	NA	NA	NA	NA	NA	NA	K20509
1	GELPLBNI_00009	9186	9950	-764	Oxaloacetate decarboxylase alpha chain	NA	NA	NA	NA	NA	NA	NA
1	GELPLBNI_00010	9958	10953	-995	Oxaloacetate decarboxylase alpha chain	NA	NA	NA	NA	NA	NA	NA
1	GELPLBNI_00011	11121	12593	-1472	Trk system potassium uptake protein TrkH	NA	NA	NA	NA	NA	NA	K03498
1	GELPLBNI_00012	12590	13957	-1367	Trk system potassium uptake protein TrkA	NA	NA	NA	NA	NA	NA	K03499
1	GELPLBNI_00013	14053	14904	-851	Modulator of FtsH protease HflC	NA	NA	NA	NA	NA	MEROPS=Modulator of FtsH	K04087
1	GELPLBNI_00014	14913	16016	-1103	Hypothetical	NA	NA	NA	NA	NA	MEROPS=Hypothetical MER0192051	K04088
1	GELPLBNI_00015	16306	16629	323	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	GELPLBNI_00016	16725	17396	671	Protein-L-isoaspartate O-methyltransferase	NA	NA	NA	NA	NA	NA	K00573
1	GELPLBNI_00017	17506	18045	539	Orotate phosphoribosyltransferase	NA	NA	NA	NA	NA	NA	NA
1	GELPLBNI_00018	18102	19121	-1019	Hypothetical	GH102	GH102	NA	NA	NA	NA	K08304
1	GELPLBNI_00019	19573	20010	-437	Ribonuclease HI	NA	NA	NA	NA	NA	NA	K03469
1	GELPLBNI_00020	21160	21828	668	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	GELPLBNI_00021	21900	22889	989	Oxalate oxidoreductase subunit alpha	NA	NA	NA	NA	NA	NA	NA
1	GELPLBNI_00022	22876	23142	266	Hypothetical	NA	NA	NA	NA	NA	NA	NA
1	GELPLBNI_00023	23206	24117	911	Oxalate oxidoreductase subunit beta	NA	NA	NA	NA	NA	NA	NA
2	GELPLBNI_00024	1941	2771	-830	Hypothetical	NA	NA	NA	NA	NA	NA	NA
2	GELPLBNI_00025	2799	3020	-221	Hypothetical	NA	NA	NA	NA	NA	NA	NA
2	GELPLBNI_00026	3176	4285	-1109	Hypothetical	NA	NA	NA	NA	NA	NA	NA
2	GELPLBNI_00027	4450	7251	-2801	Hypothetical	NA	NA	NA	NA	NA	NA	NA
2	GELPLBNI_00028	7288	7389	-101	Hypothetical	NA	NA	NA	NA	NA	NA	NA
2	GELPLBNI_00029	7718	8386	668	Hypothetical	NA	NA	NA	NA	NA	NA	NA
2	GELPLBNI_00030	8557	9219	662	Hypothetical	NA	NA	NA	NA	NA	NA	NA
2	GELPLBNI_00031	9402	9581	-179	Hypothetical	NA	NA	NA	NA	NA	NA	K02884
2	GELPLBNI_00032	9677	9958	281	Hypothetical	NA	NA	NA	NA	NA	NA	NA
2	GELPLBNI_00033	10103	10903	800	Hypothetical	NA	NA	NA	NA	NA	NA	NA
2	GELPLBNI_00034	11428	12300	-872	Hypothetical	NA	NA	NA	NA	NA	NA	NA
2	GELPLBNI_00035	12377	15532	-3155	Hypothetical	NA	NA	NA	NA	NA	NA	NA
2	GELPLBNI_00036	16250	16981	-731	Hypothetical	GT9	GT9	NA	NA	NA	NA	NA
